"","SecId","X","Date","diff20","bin.diff20","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type","sector","PriceToday","PriceForward20Days"
"17",69,17,"2009-12-01",-0.12180805,0,0,0,0,0,0.907558016248236,0.0924419837517645,0,0.862,0.138,0.999108872845938,0.000891127154062225,0,0,0.0578332777264567,0,"test","Financials",67.046,65.6
"18",73,18,"2009-12-01",2.624178,0,0,0,0,0,0.960908416033481,0.0390915839665192,0,0.868,0.132,0.999195671754622,0.000804328245378099,0,0,0.0429739780529743,0,"test","Financials",67.97,69.22
"19",74,19,"2009-12-01",-12.694305,0,0,1,0,0,0.644377238946948,0.355622761053052,1,0.538,0.462,0.893213913742782,0.106786086257218,1,0,0.481102211827568,0,"test","Financials",41,33.699997
"20",80,20,"2009-12-01",1.8766761,0,0,0,0,0,0.952824280940144,0.0471757190598558,0,0.894,0.106,0.998528075485933,0.00147192451406744,0,0,0.0386619108934808,0,"test","Financials",50.16,49.4
"21",81,21,"2009-12-01",15.966392,1,0,0,1,1,0.617883041650806,0.382116958349194,0,0.454,0.546,0.171417921459055,0.828582078540945,2,0,0.439174759222535,0,"test","Financials",11.59,13.8
"22",93,22,"2009-12-01",3.093183,0,0,1,0,0,0.878995382563769,0.121004617436231,0.999901057162087,0.6,0.4,0.982257863236292,0.0177421367637079,1,0,0.384661952840507,0,"test","Financials",25.58,26.33
"23",97,23,"2009-12-01",5.196631,0,0,0,0,0,0.908037568140942,0.0919624318590575,0,0.854,0.146,0.974168207586587,0.0258317924134135,0,0,0.0659485560681178,0,"test","Financials",28.34,29.96
"24",99,24,"2009-12-01",3.8770914,0,0,0,0,0,0.917990485015894,0.0820095149841065,0,0.852,0.148,0.99673543880023,0.00326456119977041,0,0,0.0583185190459692,0,"test","Financials",66.170006,67.678
"25",105,25,"2009-12-01",-0.25900602,0,0,0,0,0,0.954092839259302,0.0459071607406978,0,0.744,0.256,0.989656689995106,0.0103433100048938,0,0,0.0780626176863979,0,"test","Financials",38.09,38.51
"26",128,26,"2009-12-01",-4.4041395,0,0,0,0,0,0.845528890471322,0.154471109528678,0.149808755564529,0.736,0.264,0.991083295338993,0.00891670466100727,0,0,0.144299142438554,0,"test","Financials",15.45,14.76
"27",160,27,"2009-12-01",10.308957,1,0,0,0,0,0.954594266609067,0.0454057333909332,0,0.858,0.142,0.99868426912831,0.00131573087168958,0,0,0.0471803660656557,0,"test","Financials",32.48,34.99
"28",164,28,"2009-12-01",7.2727323,0,0,1,0,0,0.691458433417868,0.308541566582132,1,0.552,0.448,0.845698054487639,0.154301945512361,1,0,0.477710878023623,0,"test","Financials",17.1,17.7
"29",181,29,"2009-12-01",-3.5957217,0,0,0,0,0,0.894587387724681,0.105412612275319,0,0.652,0.348,0.96963324403974,0.0303667559602603,0,0,0.120944842058895,0,"test","Financials",10.18,9.92
"30",203,30,"2009-12-01",10.046077,1,0,1,1,0,0.677711638706973,0.322288361293027,0.999996390442926,0.394,0.606,0.908806552013492,0.0911934479865075,2,0,0.504869549930615,1,"test","Financials",11.2,11.94
"31",208,31,"2009-12-01",-1.3939023,0,0,0,0,0,0.871093539255493,0.128906460744507,0,0.676,0.324,0.978751388413782,0.0212486115862179,0,0,0.118538768082681,0,"test","Financials",167.63,164.12
"32",214,32,"2009-12-01",-1.0723829,0,0,0,0,0,0.745014005148397,0.254985994851603,0.0228045464836277,0.616,0.384,0.888934171490147,0.111065828509853,0,0,0.193214092461271,0,"test","Financials",3.82,3.69
"33",215,33,"2009-12-01",5.73833,0,0,0,0,0,0.833365585402065,0.166634414597935,6.28051349605903e-05,0.528,0.472,0.895063479201682,0.104936520798318,0,0,0.185908435132803,0,"test","Financials",13.16,13.82
"34",216,34,"2009-12-01",0.7474184,0,0,0,0,0,0.925772101645761,0.0742278983542386,0,0.874,0.126,0.998681288386999,0.00131871161300118,0,0,0.0503866524918099,0,"test","Financials",44.94,45.83
"35",217,35,"2009-12-01",-1.299113,0,0,0,0,0,0.856215029362571,0.143784970637429,0,0.798,0.202,0.998797777994662,0.0012022220053377,0,0,0.0867467981606916,0,"test","Financials",31.6,31.15
"36",220,36,"2009-12-01",0.8417487,0,0,0,0,0,0.765410956704869,0.234589043295131,0,0.582,0.418,0.991089107563015,0.00891089243698447,0,0,0.165374983933029,0,"test","Financials",24.48,23.96
"37",230,37,"2009-12-01",15.549076,1,0,0,0,0,0.776826405734313,0.223173594265687,0,0.706,0.294,0.991104013789754,0.00889598621024616,0,0,0.131517395118983,0,"test","Financials",10.58,11.89
"38",234,38,"2009-12-01",6.881821,0,0,0,0,0,0.904038299553886,0.0959617004461137,0,0.8,0.2,0.99866761788681,0.0013323821131902,0,0,0.074323520639826,0,"test","Financials",107.81,112.6
"39",245,39,"2009-12-01",8.282924,0,0,0,0,0,0.925039628831408,0.0749603711685919,0,0.908,0.092,0.996991776750289,0.00300822324971081,0,0,0.0424921486045757,0,"test","Financials",22.21,23.27
"40",252,40,"2009-12-01",0.7283449,0,0,0,0,0,0.892148858426315,0.107851141573685,0,0.83,0.17,0.983408443312503,0.016591556687497,0,0,0.0736106745652956,0,"test","Financials",42.22,41.49
"41",255,41,"2009-12-01",-4.20168,0,0,1,0,0,0.671813227435974,0.328186772564026,1,0.642,0.358,0.602893295041149,0.397106704958851,1,0,0.520823369380719,1,"test","Financials",5.95,5.7
"42",256,42,"2009-12-01",11.603546,1,0,0,0,0,0.888464920010347,0.111535079989653,0,0.676,0.324,0.998680968825889,0.00131903117411102,0,0,0.109213527790941,0,"test","Financials",12.25,13.85
"43",267,43,"2009-12-01",4.564917,0,0,1,0,0,0.776424426101582,0.223575573898418,0.561246806966259,0.834,0.166,0.997104692981436,0.00289530701856398,1,0,0.23842942197081,0,"test","Financials",35.71,36.65
"44",275,44,"2009-12-01",8.712805,1,0,0,0,0,0.866923392743491,0.133076607256509,0,0.606,0.394,0.974450256097449,0.025549743902551,0,0,0.138156587789765,0,"test","Financials",28.53,30.32
"45",277,45,"2009-12-01",10.468197,1,0,0,0,0,0.81627805327547,0.18372194672453,0,0.592,0.408,0.975404249540353,0.024595750459647,0,0,0.154079424296044,0,"test","Financials",22.79,25.01
"46",287,46,"2009-12-01",21.827911,1,0,0,0,0,0.814355370650901,0.185644629349099,0,0.61,0.39,0.995043399927471,0.00495660007252905,0,0,0.145150307355407,0,"test","Financials",29.9,36.39
"47",294,47,"2009-12-01",8.657312,0,0,0,0,1,0.669931341093675,0.330068658906325,1.12981161351025e-05,0.54,0.46,0.396111225281111,0.603888774718889,1,0,0.348492182935337,0,"test","Financials",23.4,27.11
"48",297,48,"2009-12-01",-2.2179067,0,0,0,0,0,0.784033830793756,0.215966169206244,1.00196700127662e-06,0.56,0.44,0.897206598884837,0.102793401115163,0,0,0.189690143072102,0,"test","Financials",34.19,35.27
"49",298,49,"2009-12-01",1.9744873,0,0,1,0,0,0.794364594079498,0.205635405920502,0.999984558742365,0.614,0.386,0.803536246519094,0.196463753480906,1,0,0.447020929535943,0,"test","Financials",30.32,33.57
"50",302,50,"2009-12-01",2.8690338,0,0,0,0,0,0.737249334979405,0.262750665020595,2.16975089524173e-05,0.738,0.262,0.897833461043162,0.102166538956838,0,0,0.156734725371596,0,"test","Financials",22.43,22.23
"51",311,51,"2009-12-01",-3.0313015,0,0,0,0,0,0.880807767437966,0.119192232562034,0,0.684,0.316,0.861828036635598,0.138171963364402,0,0,0.143341048981609,0,"test","Financials",31.52,29.43
"52",314,52,"2009-12-01",4.4871807,0,0,0,0,0,0.9427821144589,0.0572178855410999,0,0.866,0.134,0.97247684639628,0.0275231536037205,0,0,0.0546852597862051,0,"test","Financials",65.65,66.83
"53",321,53,"2009-12-01",4.1326523,0,1,1,0,1,0.387606774492714,0.612393225507286,1,0.504,0.496,0.44703380984575,0.55296619015425,3,1,0.665339853915384,1,"test","Financials",19.17,20.41
"54",335,54,"2009-12-01",10.065269,1,0,1,0,1,0.494498685980052,0.505501314019948,1,0.5,0.5,0.400291889168992,0.599708110831008,2,0,0.651302356212739,1,"test","Financials",49.38,52.27
"55",348,55,"2009-12-01",3.073144,0,0,1,0,0,0.843712512920089,0.156287487079911,1,0.688,0.312,0.951684911892112,0.0483150881078879,1,0,0.37915064379695,0,"test","Financials",16.14,16.77
"56",352,56,"2009-12-01",7.5280905,0,0,0,0,0,0.89093155979302,0.10906844020698,4.58022826063671e-06,0.83,0.17,0.999042727022702,0.000957272977298543,0,0,0.0700075733531347,0,"test","Financials",34.68,38.28
