"","X","DJI","DJV","S.P","FTSE","FTV","STI","STIV","SG.D","P.D","SGPRIME","UKPRIME","USPRIME","USINF","UKINF","SGINF","date","USINF.weekly","UKINF.weekly","SGINF.weekly","SGPRIME.weekly","UKPRIME.weekly","USPRIME.weekly","SG.D.forward.week","SG.D.backward.week","SG.D.backward.month","SG.D.target","SG.D.weekly.momentum","SG.D.monthly.momentum","P.D.forward.week","P.D.backward.week","P.D.backward.month","P.D.target","P.D.weekly.momentum","P.D.monthly.momentum","DJI.backward.week","DJI.backward.month","DJI.weekly.momentum","DJI.monthly.momentum","S.P.backward.week","S.P.backward.month","S.P.weekly.momentum","S.P.monthly.momentum","FTSE.backward.week","FTSE.backward.month","FTSE.weekly.momentum","FTSE.monthly.momentum","STI.backward.week","STI.backward.month","STI.weekly.momentum","STI.monthly.momentum","SG.D.weekly.momentum.z","SG.D.monthly.momentum.z","P.D.weekly.momentum.z","P.D.monthly.momentum.z","DJI.weekly.momentum.z","DJI.monthly.momentum.z","S.P.weekly.momentum.z","S.P.monthly.momentum.z","FTSE.weekly.momentum.z","FTSE.monthly.momentum.z","STI.weekly.momentum.z","STI.monthly.momentum.z","DJI.z","DJV.z","S.P.z","FTSE.z","FTV.z","STI.z","STIV.z","USPRIME.weekly.z","UKPRIME.weekly.z","SGPRIME.weekly.z","USINF.weekly.z","UKINF.weekly.z","SGINF.weekly.z","SG.D.forward.week.z","P.D.forward.week.z"
"541","12-Mar-97",7039.37,190063.6,804.26,4422.5,2093801,2177.39,1109860,0.6976,1.5985,6,7,8.25,2.76,2.57,1.6,1997-03-12,0.69,0.6425,0.4,0.115384615384615,0.134615384615385,0.158653846153846,0.6943,0.7005,0.7051,-0.473050458715592,-0.413990007137761,-1.06367891079279,1.598,1.6143,1.6305,-0.0312793243665902,-0.978752400421237,-1.96258816314014,6945.85,6961.63,1.34641548550573,1.11669249873952,801.99,802.77,0.283045923265874,0.185607334603935,4360.1,4304.3,1.43115983578357,2.74609111818414,2192.53,2224.64,-0.690526469421186,-2.12393915420023,-0.703540258286302,-0.908203518951953,-0.688606222289197,-0.685889487626088,0.515832822360983,-0.00356844772714032,0.00647168208025474,-0.227063959075583,0.562501493926056,0.382648802889345,-0.260098767345636,-0.415679349815603,1.73283521067335,0.906563924325795,1.56227645957091,1.46610040335479,-0.2559606825795,1.17954394857987,1.12810705866977,-0.0606841393491113,-0.965021163430204,0.31812102541085,-0.582400377289304,-0.776870279205182,-0.445571917712046,1.20131513898193,-0.419230596405052
"542","19-Mar-97",6877.68,227809.4,785.77,4332.2,2110165,2120.56,931191,0.6943,1.598,6,7,8.25,2.76,2.57,1.6,1997-03-19,0.69,0.6425,0.4,0.115384615384615,0.134615384615385,0.158653846153846,0.6898,0.6976,0.7005,-0.648134812040913,-0.473050458715592,-0.885082084225551,1.6291,1.5985,1.6153,1.94618272841051,-0.0312793243665902,-1.07100848139664,7039.37,7020.13,-2.29693850444002,-2.02916470207816,804.26,812.49,-2.29900778355258,-3.28865586037982,4422.5,4357.4,-2.04183154324478,-0.578326524991964,2177.39,2246.99,-2.61000555711195,-5.62663830279618,-0.795070588304707,-0.778194938622488,-0.0438889875115258,-0.394886164281746,-1.24438833656965,-0.762018668983216,-1.27227320454119,-1.10433168042065,-1.07304136539704,-0.334206481372355,-0.857121027717702,-0.946113588889385,1.6444174070607,1.51358277914719,1.47446949072269,1.37700356053563,-0.254850447331872,1.055646754851,0.780142032109358,-0.0606841393491113,-0.965021163430204,0.31812102541085,-0.582400377289304,-0.776870279205182,-0.445571917712046,1.14511757058379,-0.176051234296255
"543","26-Mar-97",6880.7,265866.2,790.5,4301.5,2262737,2111.6,750530,0.6898,1.6291,6,7,8.5,2.76,2.57,1.6,1997-03-26,0.69,0.6425,0.4,0.115384615384615,0.134615384615385,0.163461538461538,0.6942,0.6943,0.7006,0.637866048129903,-0.648134812040913,-1.54153582643449,1.644,1.598,1.634,0.914615431833522,1.94618272841051,-0.299877600979186,6877.68,6983.18,0.043910155750188,-1.46752625594644,785.77,805.68,0.601957315753976,-1.88412272862674,4332.2,4329.3,-0.708646876875486,-0.642136142101499,2120.56,2216.07,-0.422529897762857,-4.7142012662055,-1.06641170089012,-1.25605683973761,1.30169422615933,-0.14319621045047,-0.113449275228925,-0.626610487192954,0.164410423382415,-0.749680489392378,-0.445202012150684,-0.347965962316507,-0.176742861043001,-0.807937906458675,1.64606884974059,2.12560306098429,1.49693173856758,1.34671260732912,-0.24449901661805,1.03611272606672,0.428297505843299,0.113603009681985,-0.965021163430204,0.31812102541085,-0.582400377289304,-0.776870279205182,-0.445571917712046,1.20006630412864,-0.0595440801026523
"544","2-Apr-97",6517.01,213873,750.11,4236.6,68267044.2857143,2089.81,328807.207459208,0.6942,1.644,6,7,8.5,2.5,2.42,1.88,1997-04-02,0.625,0.605,0.47,0.115384615384615,0.134615384615385,0.163461538461538,0.6934,0.6898,0.7005,-0.11524056467877,0.637866048129903,-0.899357601713058,1.62,1.6291,1.6143,-1.45985401459853,0.914615431833522,1.83980672737408,6880.7,6945.85,-5.28565407589344,-6.1740463730141,790.5,801.99,-5.10942441492726,-6.46890858988267,4301.5,4360.1,-1.50877600836917,-2.83250384165501,2111.6,2192.53,-1.03191892403864,-4.684998608913,0.926598511371269,-0.788586723278978,0.599754264228604,0.55517687185328,-2.68833268054928,-1.76132862481481,-2.66411330730746,-1.90736038283461,-0.822008443474738,-0.820282268038238,-0.366283250540442,-0.803515577094165,1.44719031058612,1.28946095451152,1.30512408730855,1.28267733491536,4.23364254069223,0.988607537762094,-0.393024506971389,0.113603009681985,-0.965021163430204,0.31812102541085,-0.811118419630063,-0.840011709744534,-0.18854412957589,1.1900756253023,-0.247206610347382
"545","9-Apr-97",6563.84,227356.6,760.6,4292.3,1735229,2103.2,680374,0.6934,1.62,6,7,8.5,2.5,2.42,1.88,1997-04-09,0.625,0.605,0.47,0.115384615384615,0.134615384615385,0.163461538461538,0.6942,0.6942,0.6976,0.115373521776756,-0.11524056467877,-0.602064220183484,1.6248,1.644,1.5985,0.296296296296291,-1.45985401459853,1.34501094776353,6517.01,7039.37,0.718581067084444,-6.75529202187127,750.11,804.26,1.39846155897135,-5.42859274364011,4236.6,4422.5,1.31473351272246,-2.94403617863199,2089.81,2177.39,0.640728104468821,-3.4072903797666,-0.240546252474302,-0.572173636793061,-1.01597647710535,0.393680127151949,0.212505879478195,-1.90146400377138,0.558873840427874,-1.64467576146509,0.50767260996461,-0.844332358523145,0.153965975495941,-0.610024739447646,1.47279860883079,1.50630095872046,1.35493993929437,1.33763518812717,-0.280288430881396,1.01779957408146,0.291665888700022,0.113603009681985,-0.965021163430204,0.31812102541085,-0.811118419630063,-0.840011709744534,-0.18854412957589,1.20006630412864,-0.209674104298436
"546","16-Apr-97",6679.87,255700.1,763.53,4294.6,1640282,2040.19,699128,0.6942,1.6248,6,7,8.5,2.5,2.42,1.88,1997-04-16,0.625,0.605,0.47,0.115384615384615,0.134615384615385,0.163461538461538,0.6925,0.6934,0.6943,-0.244886199942385,0.115373521776756,-0.0144029958231296,1.623,1.62,1.598,-0.110782865583458,0.296296296296291,1.67709637046307,6563.84,6877.68,1.76771523985959,-2.87611520163777,760.6,785.77,0.385222193005515,-2.83034475737175,4292.3,4332.2,0.0535843254199423,-0.867919301971272,2103.2,2120.56,-2.99591099277291,-3.79003659410721,0.116853375809106,-0.144388871731732,0.179013017486631,0.502069723302009,0.719376245237933,-0.96621414028972,0.0570737985732586,-0.988605981347663,-0.0862429293278721,-0.396652339487614,-0.977150538310258,-0.667986239522099,1.5362479115284,1.9621142919027,1.36885418584523,1.33990454292766,-0.286730224211662,0.880429132820578,0.328190054101484,0.113603009681985,-0.965021163430204,0.31812102541085,-0.811118419630063,-0.840011709744534,-0.18854412957589,1.17883611162267,-0.223748794066791
"547","23-Apr-97",6812.72,256436.5,773.64,4387.7,1531636,2034.8,329851.333333334,0.6925,1.623,6,7,8.5,2.5,2.42,1.88,1997-04-23,0.625,0.605,0.47,0.115384615384615,0.134615384615385,0.163461538461538,0.6909,0.6942,0.6898,-0.231046931407949,-0.244886199942385,0.39141780226153,1.6245,1.6248,1.6291,0.0924214417744952,-0.110782865583458,-0.374439874777484,6679.87,6880.7,1.98881115949862,-0.987980874038972,763.53,790.5,1.32411300145378,-2.13282732447818,4294.6,4301.5,2.16783868113444,2.00395210972916,2040.19,2111.6,-0.264191080242531,-3.6370524720591,-0.441467638344276,0.151026152382899,-0.0979879424515553,-0.167532643767327,0.82619477480597,-0.510994526965799,0.52205321291644,-0.812479564144587,0.909427153576002,0.222618888790039,-0.127494187615487,-0.644818958255169,1.6088949843835,1.97395689915146,1.41686545978008,1.43176407854741,-0.294101442661535,0.868678193630034,-0.39099103005305,0.113603009681985,-0.965021163430204,0.31812102541085,-0.811118419630063,-0.840011709744534,-0.18854412957589,1.15885475397,-0.212019885926495
"548","30-Apr-97",7008.99,257364.4,801.34,4436,1815830,2004.26,498803,0.6909,1.6245,6,7,8.5,2.5,2.42,1.88,1997-04-30,0.625,0.605,0.47,0.115384615384615,0.134615384615385,0.163461538461538,0.6917,0.6925,0.6942,0.115790997249967,-0.231046931407949,-0.475367329299925,1.6135,1.623,1.644,-0.67713142505387,0.0924214417744952,-1.1861313868613,6812.72,6517.01,2.88093448725325,7.54916748631657,773.64,750.11,3.58047670751254,6.82966498246924,4387.7,4236.6,1.10080452173121,4.70660435254684,2034.8,2089.81,-1.50088460782386,-4.09367358755102,-0.42001990500785,-0.479945329983101,0.040284397360215,-0.432461210875184,1.25720816582502,1.54726865838305,1.63950229767466,1.4505917008766,0.406926597253277,0.80540082227016,-0.512147279154173,-0.713967767121059,1.71622235351613,1.98887916322823,1.54840970191613,1.47942052935765,-0.274819959163356,0.802096805340757,-0.0619508989777536,0.113603009681985,-0.965021163430204,0.31812102541085,-0.811118419630063,-0.840011709744534,-0.18854412957589,1.16884543279634,-0.298031878955331
"549","7-May-97",7085.65,260652.1,815.62,4537.5,68891919.6428571,2068.13,330547.417249418,0.6917,1.6135,6,7.25,8.5,2.23,2.62,1.59,1997-05-07,0.5575,0.655,0.3975,0.115384615384615,0.139423076923077,0.163461538461538,0.698,0.6909,0.6934,0.91079947954315,0.115790997249967,-0.245168733775603,1.647,1.6245,1.62,2.07623179423614,-0.67713142505387,-0.401234567901245,7008.99,6563.84,1.09373818481693,7.94976720943837,801.34,760.6,1.78201512466618,7.23376281882724,4436,4292.3,2.28809738503156,5.71255504042121,2004.26,2103.2,3.18671230279505,-1.66745910992772,0.117500368285743,-0.312373524967368,-0.483365307159934,-0.176278182620072,0.393756314758018,1.64385122054063,0.74882618711319,1.55262829632339,0.966060828401138,1.0223173302756,0.945852300647281,-0.346551904190386,1.75814274948957,2.04175116194057,1.61622384551551,1.57956814337918,4.27603796032519,0.941342164542988,-0.389635378774158,0.113603009681985,-0.88665037476246,0.31812102541085,-1.04863330975316,-0.755823135692064,-0.454751481574051,1.24752202855374,-0.0360862638220601
"550","14-May-97",7286.16,257549.4,836.04,4686.9,2374766,2098.26,688547,0.698,1.647,6,7.25,8.5,2.23,2.62,1.59,1997-05-14,0.5575,0.655,0.3975,0.115384615384615,0.139423076923077,0.163461538461538,0.6988,0.6917,0.6942,0.114613180515763,0.91079947954315,0.547392682224131,1.645,1.6135,1.6248,-0.121432908318154,2.07623179423614,1.36632200886263,7085.65,6679.87,2.82980389943054,9.07637424081606,815.62,763.53,2.50361688040999,9.49667989469962,4537.5,4294.6,3.29256198347107,9.13472733199831,2068.13,2040.19,1.45687166667473,2.84630353055353,1.34958354421323,0.26456721075866,1.39018737306083,0.400635859467095,1.23250533903343,1.91547046377741,1.10619464652894,2.12402545172879,1.4390953747409,1.76025177599923,0.407813947803092,0.336993598860617,1.86778870039793,1.99185428862342,1.71319617130678,1.72697753781087,-0.236898274467204,1.00702969660441,0.307583133225251,0.113603009681985,-0.88665037476246,0.31812102541085,-1.04863330975316,-0.755823135692064,-0.454751481574051,1.25751270738007,-0.051724808009121
"551","21-May-97",7290.69,258607.6,839.35,4642,2081735,2053.99,331243.501165502,0.6988,1.645,6,7.25,8.5,2.23,2.62,1.59,1997-05-21,0.5575,0.655,0.3975,0.115384615384615,0.139423076923077,0.163461538461538,0.6994,0.698,0.6925,0.0858614768174077,0.114613180515763,0.909747292418769,1.6407,1.647,1.623,-0.261398176291792,-0.121432908318154,1.35551447935921,7286.16,6812.72,0.0621726670838925,7.01584682769877,836.04,773.64,0.395914071097084,8.49361460110646,4686.9,4387.7,-0.957989289295689,5.79574720240673,2098.26,2034.8,-2.10984339405033,0.943090229998026,0.115675018978333,0.528341261802651,-0.105234867219876,0.397108382263391,-0.104626070304697,1.41868775158792,0.0623688799272477,1.87074676929008,-0.562625339090917,1.04025633413418,-0.701553849591853,0.0487788661508633,1.87026586441775,2.00887200588394,1.7289149959086,1.68267578540135,-0.25677931485143,0.910515025367795,-0.388279727495265,0.113603009681985,-0.88665037476246,0.31812102541085,-1.04863330975316,-0.755823135692064,-0.454751481574051,1.26500571649983,-0.0853476780113017
"552","28-May-97",7357.23,180029.4,847.21,4677.5,69266844.8571429,2064.36,652078,0.6994,1.6407,6,7.25,8.5,2.23,2.62,1.59,1997-05-28,0.5575,0.655,0.3975,0.115384615384615,0.139423076923077,0.163461538461538,0.6989,0.6988,0.6909,-0.0714898484415293,0.0858614768174077,1.23027934578087,1.6332,1.645,1.6245,-0.457121960138969,-0.261398176291792,0.997229916897506,7290.69,7008.99,0.912670817165453,4.9684761998519,839.35,801.34,0.936438911062133,5.72416202860209,4642,4436,0.764756570443774,5.44409377817854,2053.99,2004.26,0.504871007161688,2.99861295440712,0.0711163869700125,0.761670811989296,-0.200475589952217,0.280167630343783,0.306276862415057,0.925077073620714,0.330060203841982,1.17144702966126,0.248670855405715,0.964428131289649,0.111709869742024,0.360058706629843,1.90665228690761,0.745196339242188,1.7662412682259,1.71770278340888,4.30147521210496,0.933123047521031,0.236558296495703,0.113603009681985,-0.88665037476246,0.31812102541085,-1.04863330975316,-0.755823135692064,-0.454751481574051,1.25876154223336,-0.143992218712781
"553","4-Jun-97",7269.66,221122.8,840.11,4557.1,1793738,2047.89,532802,0.6989,1.6332,6,7.25,8.5,2.3,2.94,1.68,1997-06-04,0.575,0.735,0.42,0.115384615384615,0.139423076923077,0.163461538461538,0.7047,0.6994,0.6917,0.829875518672203,-0.0714898484415293,1.04091369090646,1.638,1.6407,1.6135,0.293901542983095,-0.457121960138969,1.22094824914782,7357.23,7085.65,-1.19025774646164,2.5969388835181,847.21,815.62,-0.838044876712978,3.00262377087369,4677.5,4537.5,-2.574024585783,0.431955922865022,2064.36,2068.13,-0.797825960588271,-0.978661882957068,-0.172742546462015,0.623823122158628,-0.333657735061422,0.353187215144757,-0.709715369915663,0.353311450622031,-0.548741063543745,0.484245878822152,-1.32366811205725,-0.116355901488171,-0.293472501482231,-0.242243307458417,1.85876591754426,1.40605049013361,1.73252415201052,1.59890699298334,-0.276318817455374,0.897216188807069,0.00426351391999268,0.113603009681985,-0.88665037476246,0.31812102541085,-0.9870553752768,-0.621121417208113,-0.372135406816001,1.33119396372431,-0.106459712663835
