X,RRC_DJI,RRC_DJV,RRC_S.P,RRC_FTSE,RRC_IMO_FTV,RRC_IMO_STI,RRC_IMO_STIV,SGPRIME,UKPRIME,USPRIME,IMO_USINF,IMO_UKINF,IMO_SGINF,SG.D,P.D
16-Dec-87,-1.036831024,-0.199367378,-1.078960962,-1.230189102,-0.823615419,-1.898783544,-0.79371797,5.5,9.5,8.75,4.4,3.71,1.52,0.5006,1.836
23-Dec-87,-1.019786167,-0.074547198,-1.054836603,-1.149676341,-0.714504249,-1.746532782,-0.71122233,5.5,9.5,8.75,4.4,3.71,1.52,0.5,1.826
30-Dec-87,-1.050157401,-1.394074813,-1.080005718,-1.161121782,-1.146072079,-1.767380397,-0.720391066,5.5,9.5,8.75,4.4,3.71,1.52,0.5019,1.8575
06-Jan-88,-1.002199943,-0.82750319,-1.027625466,-1.134185528,-1.146072079,-1.587833856,-0.675384217,5.5,9.5,8.75,4.04,3.3,0.7,0.4938,1.8095
13-Jan-88,-1.064030613,-0.211906325,-1.089740942,-1.187170029,-0.845440565,-1.701330274,-0.675384217,5.5,9.5,8.75,4.04,3.3,0.7,0.4941,1.822
20-Jan-88,-1.088960836,-0.410807127,-1.104842411,-1.168028514,-0.89280051,-1.548622042,-0.617340453,5.5,9.5,8.75,4.04,3.3,0.7,0.4944,1.797
27-Jan-88,-1.071462105,-1.250943942,-1.072787406,-1.155793732,-1.092156268,-1.606786233,-0.751070329,5.5,9.5,8.75,4.04,3.3,0.7,0.4954,1.783
03-Feb-88,-1.064118107,-0.184126695,-1.059348048,-1.154708388,-0.869439904,-1.610707414,-0.778769944,5.5,10,8.625,3.91,3.29,2.21,0.4954,1.762
10-Feb-88,-1.043628187,-0.043945219,-1.03821549,-1.201871501,-1.045135457,-1.692965087,-0.814091023,5.5,10,8.5,3.91,3.29,2.21,0.4959,1.76
17-Feb-88,-1.022328951,-0.913799516,-1.026105821,-1.172665892,-1.268983649,-1.630139047,-0.835980709,5.5,10,8.5,3.91,3.29,2.21,0.4963,1.7535
24-Feb-88,-1.001024247,-0.345245012,-1.001316617,-1.16082578,-1.17176708,-1.617678403,-0.838247999,5.5,10,8.5,3.91,3.29,2.21,0.4964,1.764
02-Mar-88,-0.983886428,-0.424044023,-0.984458059,-1.112873326,-0.817802315,-1.617896247,-0.831377192,5.5,10,8.5,3.89,3.48,1.87,0.4969,1.7685
09-Mar-88,-0.982256859,-0.754517735,-0.979329259,-1.106361264,-0.690496588,-1.530541038,-0.675384217,5.5,10,8.5,3.89,3.48,1.87,0.4968,1.8482
16-Mar-88,-0.98769787,-0.912080376,-0.980326525,-1.096099834,-0.521731404,-1.499607274,-0.675384217,5.5,10,8.5,3.89,3.48,1.87,0.4964,1.849
23-Mar-88,-0.985882377,-0.520068205,-0.980041592,-1.08968644,-1.019105484,-1.466930762,-0.673815881,5.5,9.5,8.5,3.89,3.48,1.87,0.4961,1.8378
30-Mar-88,-1.034835075,-0.810368076,-1.031519555,-1.163983143,-0.941608528,-1.535551437,-0.73604379,5.5,9.5,8.5,3.89,3.48,1.87,0.4988,1.8815
06-Apr-88,-0.989146984,-1.145606814,-0.996282794,-1.175724587,-1.146072079,-1.524659266,-0.85705846,5.5,9.5,8.5,3.87,3.93,1.51,0.4993,1.872
13-Apr-88,-0.964304255,-0.553193412,-0.967409546,-1.111195977,-1.013648157,-1.48021921,-0.767048593,5.5,9,8.5,3.87,3.93,1.51,0.4982,1.8382
20-Apr-88,-1.030848646,-0.204209595,-1.040732401,-1.13448153,-0.904021007,-1.51725259,-0.675384217,5.5,9,8.5,3.87,3.93,1.51,0.4995,1.893
27-Apr-88,-0.997081564,-0.593333482,-1.004308418,-1.114846678,-0.907895022,-1.476951559,-0.80709766,5.5,9,8.5,3.87,3.93,1.51,0.4991,1.875
04-May-88,-1.003014728,-0.786054065,-1.020834554,-1.12668679,-1.146072079,-1.442575868,-0.675384217,5.5,9,8.5,3.91,4.22,1.63,0.4988,1.8657
11-May-88,-1.041544745,-0.402463911,-1.05412427,-1.16408181,-0.83466739,-1.456452494,-0.767023699,5.5,9,9,3.91,4.22,1.63,0.4993,1.8816
18-May-88,-1.049616034,-0.915853157,-1.063432093,-1.14355895,-0.929216672,-1.437500117,-0.752889522,5.5,8.5,9,3.91,4.22,1.63,0.4966,1.8665
25-May-88,-1.043994567,-0.796711446,-1.05198727,-1.133396187,-0.796669997,-1.449677563,-0.757912411,5.5,8.5,9,3.91,4.22,1.63,0.4959,1.8637
01-Jun-88,-0.987867389,-0.22222599,-0.990584127,-1.115833354,-1.146072079,-1.369031932,-0.553233987,5.5,8.5,9,3.93,4.61,1.39,0.4953,1.813
08-Jun-88,-0.966573622,-1.113185988,-0.96764699,-1.093633144,-0.804166279,-1.294812681,-0.488443888,5.5,9.5,9,3.93,4.61,1.39,0.4959,1.8095
15-Jun-88,-0.951016157,-0.318127951,-0.953732744,-1.05308076,-0.807759418,-1.238413022,-0.477904055,5.5,9.5,9,3.93,4.61,1.39,0.4938,1.786
22-Jun-88,-0.939641982,-0.240773082,-0.947986587,-1.043214,-0.930423401,-1.226235575,-0.450849774,5.5,10,9,3.93,4.61,1.39,0.4918,1.769
29-Jun-88,-0.956167345,-0.757114939,-0.97021139,-1.06709156,-0.808760171,-1.197066342,-0.426537689,5.5,10.5,9,3.93,4.61,1.39,0.4885,1.714
06-Jul-88,-0.951694233,-0.913842937,-0.965272545,-1.052390087,-0.989286799,-1.182819383,-0.489443487,5.5,11,9,4.15,4.81,1.61,0.4882,1.7145
13-Jul-88,-0.965797116,-0.915373921,-0.978094547,-1.051107408,-1.045643115,-1.145197825,-0.682816102,5.5,11,9,4.15,4.81,1.61,0.4883,1.6942
20-Jul-88,-0.962390331,-0.834120834,-0.974865302,-1.05515278,-1.077715054,-1.066011745,-0.5592852,5.5,11.5,9.5,4.15,4.81,1.61,0.4894,1.7093
27-Jul-88,-0.993505261,-1.070603098,-1.010481974,-1.081201026,-1.330984542,-1.086118692,-0.612175858,5.5,11.5,9.5,4.15,4.81,1.61,0.4914,1.7405
03-Aug-88,-0.949556106,-0.636741366,-0.960713611,-1.0572248,-1.009503668,-1.012291559,-0.675384217,5.25,11.5,9.5,4.01,5.68,1.5,0.4886,1.7122
10-Aug-88,-1.00420136,-0.949322514,-1.013331308,-1.082089035,-1.050667684,-1.060739934,-0.675384217,5.25,12,9.5,4.01,5.68,1.5,0.489,1.6965
17-Aug-88,-1.008674473,-0.645533264,-1.018697553,-1.090969119,-1.161093772,-1.121060775,-0.675384217,5.25,12,10,4.01,5.68,1.5,0.4904,1.692
24-Aug-88,-1.00828622,-0.97608256,-1.016987953,-1.102513228,-1.385227002,-1.241397476,-0.62485851,5.25,12,10,4.01,5.68,1.5,0.4907,1.6855
31-Aug-88,-1.00556298,-1.185354489,-1.015135886,-1.167239174,-1.146072079,-1.303352143,-0.646715642,5.25,13,10,4.01,5.68,1.5,0.4891,1.6855
07-Sep-88,-0.986894022,-1.168605337,-0.994478216,-1.164772484,-1.279251246,-1.245384011,-0.69850904,5.25,13,10,4.19,5.86,1.5,0.4907,1.708
14-Sep-88,-0.967836811,-0.850871594,-0.978142036,-1.1558924,-1.110030419,-1.235973175,-0.810515829,5.25,13,10,4.19,5.86,1.5,0.4889,1.6793
21-Sep-88,-0.973381722,-0.761259209,-0.97410548,-1.12461477,-1.026597605,-1.281698508,-0.675384217,5.25,13,10,4.19,5.86,1.5,0.4906,1.6738
28-Sep-88,-0.976099493,-1.123553898,-0.979234281,-1.109123957,-1.047136962,-1.317054494,-0.85626376,5.25,13,10,4.19,5.86,1.5,0.4901,1.69
