"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Date","Sector"
63,8,2,9,21.1892332727273,"PCA_voted.prob",2008-12-01,"Health Care"
65,0,0,16,14.10304084375,"actual",2009-01-04,"Health Care"
63,14,2,2,5.1378367,"ksvm",2009-01-04,"Health Care"
60,9,5,7,8.57477774166667,"nnet",2009-01-04,"Health Care"
60,9,5,7,9.58113020833333,"rf",2009-01-04,"Health Care"
63,14,2,2,9.6161485,"ada",2009-01-04,"Health Care"
63,14,2,2,9.6161485,"voted",2009-01-04,"Health Care"
61,11,4,5,8.25443792222222,"voted.prob",2009-01-04,"Health Care"
63,16,2,0,-1.0730326,"PCA_ksvm",2009-01-04,"Health Care"
58,11,7,5,5.122310275,"PCA_nnet",2009-01-04,"Health Care"
61,13,4,3,8.25770918571429,"PCA_rf",2009-01-04,"Health Care"
62,14,3,2,7.68801438,"PCA_ada",2009-01-04,"Health Care"
62,14,3,2,7.68801438,"PCA_voted",2009-01-04,"Health Care"
62,13,3,3,8.59675998333333,"PCA_voted.prob",2009-01-04,"Health Care"
65,0,0,17,-5.80276420588235,"actual",2009-02-01,"Health Care"
64,15,1,2,-13.7164505666667,"ksvm",2009-02-01,"Health Care"
62,15,3,2,-18.33988996,"nnet",2009-02-01,"Health Care"
65,16,0,1,1.8636823,"rf",2009-02-01,"Health Care"
65,15,0,2,2.42067575,"ada",2009-02-01,"Health Care"
65,16,0,1,1.8636823,"voted",2009-02-01,"Health Care"
65,16,0,1,1.8636823,"voted.prob",2009-02-01,"Health Care"
64,16,1,1,-16.04873385,"PCA_ksvm",2009-02-01,"Health Care"
62,13,3,4,-19.5446512142857,"PCA_nnet",2009-02-01,"Health Care"
65,16,0,1,1.8636823,"PCA_rf",2009-02-01,"Health Care"
65,16,0,1,1.8636823,"PCA_ada",2009-02-01,"Health Care"
65,16,0,1,1.8636823,"PCA_voted",2009-02-01,"Health Care"
64,16,1,1,-16.04873385,"PCA_voted.prob",2009-02-01,"Health Care"
65,0,0,17,23.5997787647059,"actual",2009-03-01,"Health Care"
54,11,11,6,16.2559423588235,"ksvm",2009-03-01,"Health Care"
24,0,41,17,13.5412858327586,"nnet",2009-03-01,"Health Care"
27,0,38,17,13.5238771872727,"rf",2009-03-01,"Health Care"
30,3,35,14,13.9978992755102,"ada",2009-03-01,"Health Care"
31,3,34,14,13.9766688229167,"voted",2009-03-01,"Health Care"
29,1,36,16,13.9688732403846,"voted.prob",2009-03-01,"Health Care"
58,12,7,5,18.4526957583333,"PCA_ksvm",2009-03-01,"Health Care"
25,2,40,15,13.3292233636364,"PCA_nnet",2009-03-01,"Health Care"
38,3,27,14,14.8106813,"PCA_rf",2009-03-01,"Health Care"
39,6,26,11,14.9497673054054,"PCA_ada",2009-03-01,"Health Care"
42,7,23,10,15.174625069697,"PCA_voted",2009-03-01,"Health Care"
35,6,30,11,14.1460795682927,"PCA_voted.prob",2009-03-01,"Health Care"
65,0,0,17,25.1166934411765,"actual",2009-04-01,"Health Care"
64,12,1,5,43.0964896333333,"ksvm",2009-04-01,"Health Care"
64,6,1,11,29.2896025,"nnet",2009-04-01,"Health Care"
65,7,0,10,35.4073827,"rf",2009-04-01,"Health Care"
65,12,0,5,50.8736286,"ada",2009-04-01,"Health Care"
65,12,0,5,50.8736286,"voted",2009-04-01,"Health Care"
65,8,0,9,35.9971288888889,"voted.prob",2009-04-01,"Health Care"
64,12,1,5,39.7642758,"PCA_ksvm",2009-04-01,"Health Care"
62,7,3,10,26.7580934538462,"PCA_nnet",2009-04-01,"Health Care"
65,8,0,9,36.3532746666667,"PCA_rf",2009-04-01,"Health Care"
65,12,0,5,47.9011116,"PCA_ada",2009-04-01,"Health Care"
65,11,0,6,41.6019903333333,"PCA_voted",2009-04-01,"Health Care"
65,8,0,9,36.3532746666667,"PCA_voted.prob",2009-04-01,"Health Care"
65,0,0,17,12.8154627764706,"actual",2009-05-03,"Health Care"
64,15,1,2,21.0767750333333,"ksvm",2009-05-03,"Health Care"
64,11,1,6,14.2722743714286,"nnet",2009-05-03,"Health Care"
65,14,0,3,28.895283,"rf",2009-05-03,"Health Care"
65,15,0,2,31.610108,"ada",2009-05-03,"Health Care"
65,16,0,1,53.01205,"voted",2009-05-03,"Health Care"
65,15,0,2,31.610108,"voted.prob",2009-05-03,"Health Care"
64,15,1,2,21.7038675,"PCA_ksvm",2009-05-03,"Health Care"
